condition,condition_display,n_train,task,skill_type,reached_count,completed_count,skill_success_rate
rgbd_skill,RGB-D+skill,3,one_leg,place,99,92,0.9292929292929293
rgbd_skill,RGB-D+skill,3,one_leg,insert,92,86,0.9347826086956522
rgbd_skill,RGB-D+skill,3,one_leg,screw,86,84,0.9767441860465116
rgbd_skill,RGB-D+skill,3,round_table,push,108,108,1.0
rgbd_skill,RGB-D+skill,3,round_table,pick,178,163,0.9157303370786517
rgbd_skill,RGB-D+skill,3,round_table,place,163,133,0.8159509202453987
rgbd_skill,RGB-D+skill,3,round_table,insert,133,130,0.9774436090225563
rgbd_skill,RGB-D+skill,3,round_table,screw,130,123,0.9461538461538461
rgbd_skill,RGB-D+skill,3,lamp,push,108,107,0.9907407407407407
rgbd_skill,RGB-D+skill,3,lamp,pick,132,128,0.9696969696969697
