condition,condition_id,family,noise_id,noise_label,pos_std_mm,ori_std_deg,task,n_success,n_rollouts,success_rate,track_pos_cm,tracking_metric_type,track_ori_deg,track_total,tracking_count,tracking_complete,tracking_workspace_filter,tracking_source,tracking_rollouts_per_task,tracking_unavailable_reason
rgbd+GP+skill,gp_skill,point,n3,12mm,12.0,0.0,lamp,10,36,0.2777777777777778,4.458597859885011,position,,,33,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 5, 'final_segment_count': 47, 'included_segment_count': 42, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+GP+skill,gp_skill,point,n4,24mm,24.0,0.0,lamp,9,36,0.25,7.91643732737252,position,,,35,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 6, 'final_segment_count': 42, 'included_segment_count': 36, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,n0,0mm/0deg,0.0,0.0,lamp,17,36,0.4722222222222222,4.677355175873887,pose,43.368188766153196,13.350992929104528,34,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 4, 'final_segment_count': 45, 'included_segment_count': 41, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,shuffle,shuffled-guidance,0.0,0.0,lamp,15,36,0.4166666666666667,16.475378903256114,pose,52.414521066176874,26.958283116491483,157,False,,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+grasp-part,grasp_part,grasp-part,n1,3mm/2.5deg,3.0,2.5,lamp,15,36,0.4166666666666667,4.19962001924115,pose,41.745257996344044,12.548671618509957,32,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 6, 'final_segment_count': 39, 'included_segment_count': 33, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,n2,6mm/5deg,6.0,5.0,lamp,16,36,0.4444444444444444,4.686288526545759,pose,37.76159906898752,12.238608340343264,41,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 4, 'final_segment_count': 51, 'included_segment_count': 47, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,n3,12mm/10deg,12.0,10.0,lamp,12,36,0.3333333333333333,6.104177898825934,pose,51.48324262301876,16.400826423429688,29,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 5, 'final_segment_count': 39, 'included_segment_count': 34, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+grasp-part,grasp_part,grasp-part,n4,24mm/20deg,24.0,20.0,lamp,12,36,0.3333333333333333,8.622018845561565,pose,63.5260431243519,21.327227470431946,24,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 6, 'final_segment_count': 38, 'included_segment_count': 32, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n0,0mm/0deg,0.0,0.0,lamp,14,36,0.3888888888888889,4.272312309191693,pose,37.98489121024565,11.869290551240823,37,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 5, 'final_segment_count': 49, 'included_segment_count': 44, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,shuffle,shuffled-guidance,0.0,0.0,lamp,16,36,0.4444444444444444,15.499953424276791,pose,54.5546733158019,26.41088808743717,172,False,,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n1,3mm/2.5deg,3.0,2.5,lamp,21,36,0.5833333333333334,3.892442583522697,pose,41.00928235929405,12.094299055381505,40,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 5, 'final_segment_count': 49, 'included_segment_count': 44, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n2,6mm/5deg,6.0,5.0,lamp,19,36,0.5277777777777778,5.567686301156584,pose,55.96306788433983,16.760299878024547,31,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 6, 'final_segment_count': 44, 'included_segment_count': 38, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n3,12mm/10deg,12.0,10.0,lamp,11,36,0.3055555555555556,4.939405520734934,pose,48.53764602032504,14.64693472479994,32,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 7, 'final_segment_count': 49, 'included_segment_count': 42, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n4,24mm/20deg,24.0,20.0,lamp,20,36,0.5555555555555556,6.287230903683429,pose,53.76644184498265,17.040519272679962,34,True,"{'bounds_m': [[0.0, 0.5], [-0.55, 0.55], [0.415, 0.815]], 'coordinate_frame': 'sim_local_m', 'excluded_outside_workspace_count': 8, 'final_segment_count': 47, 'included_segment_count': 39, 'missing_or_invalid_target_count': 0}",saved_rollouts_8,8,
