condition,condition_id,family,noise_id,noise_label,pos_std_mm,ori_std_deg,skill_type,n_skill_states,reached_count,completed_count,skill_success_rate,track_pos_cm,track_ori_deg,track_total,tracking_complete,tracking_source,tracking_rollouts_per_task,tracking_unavailable_reason
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n0,0mm/0deg,0.0,0.0,screw,12,90,80,0.8888888888888888,4.765195612143266,21.972723655700918,9.159740343283449,True,saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,shuffle,shuffled-guidance,0.0,0.0,screw,95,95,87,0.9157894736842105,25.854416010226505,54.019689359048684,36.658353882036245,False,full_evaluator_36_pre_workspace_filter,36,workspace filtering unavailable
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n1,3mm/2.5deg,3.0,2.5,push,23,108,108,1.0,6.258162364986316,53.5834414633637,16.974850657659058,True,saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n1,3mm/2.5deg,3.0,2.5,pick,42,178,174,0.9775280898876404,1.925459945674702,19.502426342865498,5.825945214247802,True,saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n1,3mm/2.5deg,3.0,2.5,place,32,138,112,0.8115942028985508,2.9360072984363064,25.267891954920096,7.989585689420325,True,saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n1,3mm/2.5deg,3.0,2.5,insert,21,101,101,1.0,1.1064154240811748,10.900539610685414,3.2865233462182575,True,saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n1,3mm/2.5deg,3.0,2.5,screw,12,100,90,0.9,2.6058085115100176,38.04784139874606,10.21537679125923,True,saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n2,6mm/5deg,6.0,5.0,push,21,108,107,0.9907407407407407,6.641709735489377,56.554792165305884,17.952668168550552,True,saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n2,6mm/5deg,6.0,5.0,pick,37,178,167,0.9382022471910112,3.3206581633332495,25.770662944776078,8.474790752288465,True,saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n2,6mm/5deg,6.0,5.0,place,22,131,112,0.8549618320610687,2.7292860865815496,36.27058718467048,9.983403523515646,True,saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n2,6mm/5deg,6.0,5.0,insert,15,99,95,0.9595959595959596,1.4362852186259998,28.438340338729454,7.123953286371891,True,saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n2,6mm/5deg,6.0,5.0,screw,8,95,87,0.9157894736842105,5.487386354173515,50.418145200101364,15.571015394193786,True,saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n3,12mm/10deg,12.0,10.0,push,19,108,108,1.0,5.983108074213262,53.88235966135469,16.7595800064842,True,saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n3,12mm/10deg,12.0,10.0,pick,39,174,166,0.9540229885057471,3.655117344870762,30.451263942240132,9.745370133318787,True,saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n3,12mm/10deg,12.0,10.0,place,28,130,96,0.7384615384615385,4.096216236166246,40.75835891170011,12.247888018506268,True,saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n3,12mm/10deg,12.0,10.0,insert,17,89,86,0.9662921348314607,2.1881728574457338,21.58037238247924,6.504247333941581,True,saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n3,12mm/10deg,12.0,10.0,screw,10,86,77,0.8953488372093024,4.71737968460987,32.64490397729334,11.246360480068539,True,saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n4,24mm/20deg,24.0,20.0,push,17,108,107,0.9907407407407407,7.038226690232105,64.96184248207636,20.030595186647382,True,saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n4,24mm/20deg,24.0,20.0,pick,35,177,163,0.9209039548022598,4.478780592402753,41.264418360777896,12.731664264558333,True,saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n4,24mm/20deg,24.0,20.0,place,26,127,110,0.8661417322834646,4.8892426273450065,41.70732010607682,13.230706648560373,True,saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n4,24mm/20deg,24.0,20.0,insert,21,98,98,1.0,3.618595959927821,36.48763283275949,10.916122526479716,True,saved_rollouts_8,8,
rgbd+grasp-part-colored,grasp_part_colored,grasp-part,n4,24mm/20deg,24.0,20.0,screw,11,97,89,0.9175257731958762,7.216301763144416,45.53956496824735,16.324214756793882,True,saved_rollouts_8,8,
