condition,condition_id,family,noise_id,noise_label,pos_std_mm,ori_std_deg,task,skill_type,reached_count,completed_count,skill_success_rate,track_pos_cm,track_ori_deg,track_total,tracking_count,tracking_complete
rgbd+GP,gp,point,shuffle,shuffled-guidance,0.0,0.0,one_leg,screw,30,29,0.9666666666666667,45.22477364039943,,,30,False
rgbd+GP,gp,point,n1,3mm,3.0,0.0,one_leg,screw,35,35,1.0,2.0681985717684204,,,2,True
rgbd+GP,gp,point,n2,6mm,6.0,0.0,one_leg,screw,29,29,1.0,2.388170590203678,,,3,True
rgbd+GP,gp,point,n3,12mm,12.0,0.0,one_leg,screw,28,28,1.0,3.0495224965569614,,,2,True
rgbd+GP,gp,point,n4,24mm,24.0,0.0,one_leg,screw,33,32,0.9696969696969697,3.798641660717227,,,1,True
rgbd+GP,gp,point,n0,0mm,0.0,0.0,round_table,push,36,36,1.0,7.123258666895394,,,8,True
rgbd+GP,gp,point,shuffle,shuffled-guidance,0.0,0.0,round_table,push,36,36,1.0,11.496536302144422,,,36,False
rgbd+GP,gp,point,n1,3mm,3.0,0.0,round_table,push,36,36,1.0,7.146016242394117,,,7,True
rgbd+GP,gp,point,n2,6mm,6.0,0.0,round_table,push,36,36,1.0,7.445752156771344,,,5,True
rgbd+GP,gp,point,n3,12mm,12.0,0.0,round_table,push,36,36,1.0,7.510887649321345,,,5,True
rgbd+GP,gp,point,n4,24mm,24.0,0.0,round_table,push,36,36,1.0,8.511854853923445,,,3,True
rgbd+GP,gp,point,n0,0mm,0.0,0.0,round_table,pick,50,46,0.92,3.555656579805604,,,15,True
rgbd+GP,gp,point,shuffle,shuffled-guidance,0.0,0.0,round_table,pick,57,51,0.8947368421052632,25.45314181692216,,,57,False
rgbd+GP,gp,point,n1,3mm,3.0,0.0,round_table,pick,53,46,0.8679245283018868,1.7339757772220776,,,14,True
rgbd+GP,gp,point,n2,6mm,6.0,0.0,round_table,pick,55,47,0.8545454545454545,4.360731415045486,,,15,True
rgbd+GP,gp,point,n3,12mm,12.0,0.0,round_table,pick,58,51,0.8793103448275862,4.435415388588069,,,10,True
rgbd+GP,gp,point,n4,24mm,24.0,0.0,round_table,pick,58,54,0.9310344827586207,4.275102747750837,,,13,True
rgbd+GP,gp,point,n0,0mm,0.0,0.0,round_table,place,46,38,0.8260869565217391,2.8670219270834827,,,12,True
rgbd+GP,gp,point,shuffle,shuffled-guidance,0.0,0.0,round_table,place,51,50,0.9803921568627451,3.3513613971491685,,,51,False
rgbd+GP,gp,point,n1,3mm,3.0,0.0,round_table,place,46,39,0.8478260869565217,2.7030668439049577,,,12,True
rgbd+GP,gp,point,n2,6mm,6.0,0.0,round_table,place,47,43,0.9148936170212766,2.099925353087572,,,12,True
rgbd+GP,gp,point,n3,12mm,12.0,0.0,round_table,place,51,44,0.8627450980392157,3.003122462502688,,,7,True
rgbd+GP,gp,point,n4,24mm,24.0,0.0,round_table,place,54,46,0.8518518518518519,5.816825857263816,,,11,True
rgbd+GP,gp,point,n0,0mm,0.0,0.0,round_table,insert,38,37,0.9736842105263158,1.2459608624584355,,,10,True
rgbd+GP,gp,point,shuffle,shuffled-guidance,0.0,0.0,round_table,insert,50,47,0.94,4.002250007463808,,,50,False
rgbd+GP,gp,point,n1,3mm,3.0,0.0,round_table,insert,39,39,1.0,1.6932972268063842,,,11,True
rgbd+GP,gp,point,n2,6mm,6.0,0.0,round_table,insert,43,43,1.0,1.66710774091785,,,11,True
rgbd+GP,gp,point,n3,12mm,12.0,0.0,round_table,insert,44,44,1.0,2.4727622518934522,,,6,True
rgbd+GP,gp,point,n4,24mm,24.0,0.0,round_table,insert,46,45,0.9782608695652174,3.8640707061973796,,,9,True
rgbd+GP,gp,point,n0,0mm,0.0,0.0,round_table,screw,37,24,0.6486486486486487,2.3824858939935902,,,8,True
rgbd+GP,gp,point,shuffle,shuffled-guidance,0.0,0.0,round_table,screw,46,35,0.7608695652173914,11.63790281034568,,,46,False
rgbd+GP,gp,point,n1,3mm,3.0,0.0,round_table,screw,39,29,0.7435897435897436,2.24520147293977,,,7,True
rgbd+GP,gp,point,n2,6mm,6.0,0.0,round_table,screw,43,33,0.7674418604651163,2.3572384722529507,,,9,True
rgbd+GP,gp,point,n3,12mm,12.0,0.0,round_table,screw,44,37,0.8409090909090909,3.5695598256405656,,,4,True
rgbd+GP,gp,point,n4,24mm,24.0,0.0,round_table,screw,45,38,0.8444444444444444,4.496968505974364,,,6,True
rgbd+GP,gp,point,n0,0mm,0.0,0.0,lamp,push,36,36,1.0,8.168889911894189,,,8,True
